,Date,Time,Location,Operator,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Country,Regions,percent
74,05/14/1923,,"Monsures, France",Grands Express Aeriens,,Farman F-60 Goliath,F-AEBY,,6.0,6.0,0.0,, France,Monsures,100.0
77,09/14/1923,,"Berks, England",Daimler Airways,,de Havilland DH-34,G-EBBS,29,6.0,6.0,0.0,, England,Berks,100.0
84,06/08/1924,,"Barranquilla, Colombia",SCADTA,,Junkers F-13,A16,,3.0,3.0,0.0,, Colombia,Barranquilla,100.0
86,11/06/1924,,"Cabrerolles, France",Grands Express Aeriens,,,F-AFBD,,1.0,1.0,0.0,, France,Cabrerolles,100.0
88,12/24/1924,,"Purley, England",Imperial Airways,,de Havilland DH-34B,G-EBBX,36,8.0,8.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.", England,Purley,100.0
92,06/25/1925,,"Landrécies, France",KLM Royal Dutch Airlines,,Fokker (KLM)  F.III,H-NABM,KLM-2,4.0,4.0,0.0,Crashed in poor weather., France,Landrécies,100.0
97,09/07/1925,,"Toul, France",CIDNA,,,,,3.0,3.0,0.0,, France,Toul,100.0
98,11/14/1925,,"Off Boulogne-sur-Mer, France",Air Union,,Farman F-60 Goliath,F-AMFY,,2.0,2.0,0.0,, France,Off Boulogne-sur-Mer,100.0
105,08/18/1926,,"Hurst, Kent, England",Air Union,,Bleriot 155,F-AIEB,2,4.0,4.0,0.0,Crashed in adverse weather conditions.  Engine failure., England,Hurst,100.0
111,01/12/1927,,"Lille, France",KLM Royal Dutch Airlines,,Fokker F-VII,H-NADH,,2.0,2.0,0.0,, France,Lille,100.0
119,08/22/1927,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,,4993,11.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.", England,Sevenoaks,9.090909090909092
126,11/16/1927,,"Strasburg, France",CIDNA,,Farman F-121 Jabiru,,,1.0,1.0,0.0,, France,Strasburg,100.0
138,03/03/1928,,"Rio de Janeiro, Brazil",,,,,,10.0,10.0,0.0,, Brazil,Rio de Janeiro,100.0
139,03/11/1928,,"Off Cape Griz Nez, France",Air Union,,Farman F-60 Goliath,F-AEFC,,2.0,2.0,0.0,, France,Off Cape Griz Nez,100.0
148,07/13/1928,,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,G-EBLB,9,4.0,4.0,0.0,Crashed to the ground shortly after taking off killing two men and two women., England,Purley,100.0
150,08/25/1928,,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7.0,7.0,0.0,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster., Canada,Near Port Townsend,100.0
151,09/02/1928,,"Toul, France",CIDNA,,Bleriot Spad 56,,,3.0,3.0,0.0,, France,Toul,100.0
157,10/31/1928,,"Valence, France",Air Union,,Bleriot Spad 56,F-AIMN,,2.0,1.0,0.0,, France,Valence,50.0
164,12/04/1928,,"Rio de Janeiro, Brazil",,,Junkers G24,,,6.0,6.0,0.0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay., Brazil,Rio de Janeiro,100.0
168,12/31/1928,,"Reims, France",CIDNA,,Blériot Spad 66,F-AEHX,40,3.0,2.0,0.0,Crashed into high ground in fog., France,Reims,66.66666666666666
175,03/30/1929,09:18,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4.0,4.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.", California,Near Beaumont,100.0
176,04/21/1929,,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6.0,6.0,0.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.", California,San Diego,100.0
181,06/17/1929,,"Off Dungeness, England",Imperial Airways,,Handley Page W-10,G-EBMT,W10/4,13.0,7.0,0.0,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.', England,Off Dungeness,53.84615384615385
186,08/13/1929,,"Perpignan, France",Aeropostale,,Breguet 14,,,1.0,1.0,0.0,, France,Perpignan,100.0
187,08/24/1929,,"Sochi, Russia",Ukvozduchput,,Kalinin K-4,CCCP-217,,1.0,1.0,0.0,, Russia,Sochi,100.0
189,09/02/1929,,"Needles, California",Associated Aviators,,Lockheed Vega,NR859E,,2.0,1.0,0.0,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety., California,Needles,50.0
193,09/17/1929,,"Jacumba, California",Pickwick Airways,Tijuana - Nogales,Fairchild 71,,,2.0,1.0,0.0,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm., California,Jacumba,50.0
199,11/06/1929,,"Near Godstone, Surrey, England",Deutsche Lufthansa,Amsterdam - Croyden,Junkers G-24,D-903,911,8.0,7.0,0.0,Crashed in heavy rain and fog while attempting to land., England,Near Godstone,87.5
200,11/15/1929,,"Off Corsica, France",Air Union,,Liore et Olivier 190,F-AIGB,1,3.0,3.0,0.0,Crashed into the Mediterranean in fog., France,Off Corsica,100.0
208,01/19/1930,18:23,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16.0,16.0,0.0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.", California,Oceanside,100.0
212,02/10/1930,,"Marden, England",Air Union,,Farman F-63,F-FHMY,,2.0,2.0,0.0,, England,Marden,100.0
219,09/11/1930,,"Croydon, England",Sabena,,Sabca F-VII,OO-AIN,,2.0,2.0,0.0,, England,Croydon,100.0
220,09/25/1930,,"Southesk, Saskatchewan, Canada",Western Canada Airways,Calgary - Moosejaw,,,,3.0,3.0,0.0,The air mail plane crashed in fog  while en route., Canada,Southesk,100.0
221,10/05/1930,02:05,"Near Beauvais, France",Military - British Air Ministry,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,G-FAAW,R-101,54.0,48.0,0.0,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamilift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags.", France,Near Beauvais,88.88888888888889
224,10/28/1930,,"Prince Rupert, BC, Canada",Alaska-Washington Airways,,Lockheed Vega,NC103W,120,3.0,3.0,0.0,, Canada,Prince Rupert,100.0
225,10/30/1930,,"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,G-EBIX,W8-7,6.0,3.0,0.0,Crashed into high ground in fog after losing an engine. The plane was named 'City of Washington.', France,Near Neufchatel,50.0
227,11/07/1930,,"Off of Santos, Brazil",Syndicato Condor,,Junkers G-24,P-BAHA,921,9.0,1.0,0.0,Crashed into the sea., Brazil,Off of Santos,11.11111111111111
228,11/18/1930,c: 2:00,"Techachapi Mountains, California",PacifiAir Transport,"Burbank, CA - Oakland, CA",Boeing 40,NC5340,,3.0,3.0,,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.", California,Techachapi Mountains,100.0
229,12/09/1930,,"Shanghai, China",China National Aviation Corporation,Shanghai - Hankow,Loening C-W Air Yaht,,,6.0,4.0,0.0,The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named 'Shanghai'., China,Shanghai,66.66666666666666
233,02/20/1931,,"Bagot, Manitoba, Canada",Western Canada Airways,Winnigeg - Moosejaw,Fokker Universal F-14,,,3.0,2.0,0.0,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident.", Canada,Bagot,66.66666666666666
238,05/05/1931,23:30,"Burbank, California",PacifiAir Transport,San Diego - Los Angeles,Boeing 40,NC5390,,2.0,2.0,0.0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog., California,Burbank,100.0
250,09/16/1931,04:00,"Oakland, California",PacifiAir Transport,"Oakland, CA - Seattle, WA",Boeing 40,NC10347,,4.0,4.0,0.0,Crashed into San Francisco Bay shortly after taking off from Oakland airport., California,Oakland,100.0
251,10/06/1931,,"Novia Scotia, Canada",Deutsche Lufthansa,,Heinkel HE-2,D-1717,334,3.0,3.0,0.0,, Canada,Novia Scotia,100.0
256,11/24/1931,,"Near Tsinan, China",China National Aviation Corporation,Nanking - Peiking,Stinson,,,3.0,3.0,0.0,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog., China,Near Tsinan,100.0
263,01/29/1932,,"Lebec, California",Century PacifiLines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,,5034,8.0,8.0,0.0,Crashed into a canyon in mountains during a snowstorm., California,Lebec,100.0
266,02/02/1932,,"Rio Vista, California",Boeing Air Transport,,Boeing 40,NC7470,,2.0,1.0,0.0,Struck an irrigation ditch and caught fire  during landing., California,Rio Vista,50.0
267,02/27/1932,,"Off Setiba, Brazil",Aeropostale,,Latecoere 28,F-AJOX,,3.0,3.0,0.0,, Brazil,Off Setiba,100.0
269,03/19/1932,,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,,1027,7.0,7.0,0.0,Crashed into an orchard after striking power lines in fog., California,Calimesa,100.0
275,05/16/1932,,"Burbank, California",PacifiAir Transport,San Diego - Burbank - Oakland,Boeing 40,NC5589,,3.0,3.0,0.0,Crashed and burned  in fog while attempting to land at Burbank Airport. Both pilots and the radio man were killed., California,Burbank,100.0
280,09/17/1932,,"Selsdon Park, England",Air Union,,Liore-et-Olivier 213,F-AIFE,,2.0,1.0,0.0,, England,Selsdon Park,50.0
284,10/29/1932,,"Ramsgate, England",Deutsche Lufthansa,,Junkers W-33,,,2.0,2.0,0.0,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds., England,Ramsgate,100.0
296,03/25/1933,20:07,"Hayward, California",Varney Airlines,Burbank - San Francisco,Lockheed Orion 9,NC12226,184,3.0,3.0,11.0,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.", California,Hayward,100.0
307,10/31/1933,,"Etobon, France",Air France,,Farman F-301,F-AJMI,,2.0,2.0,0.0,, France,Etobon,100.0
310,11/20/1933,,"Near Tsinan, China",China National Aviation Corporation,Canton - Shanghi,Sinson,,,8.0,8.0,,Crashed into the Chingshan mountain range in fog., China,Near Tsinan,100.0
316,01/15/1934,18:15,"Corbigny, France",Air France,Saigon - Paris,Dewoitine D-332,F-AMMY,01,14.0,14.0,0.0,The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named 'Emeraude.', France,Corbigny,100.0
317,01/20/1934,,"Carombe, France",Air France,,Breguet 280T,F-AJKX,,2.0,2.0,0.0,, France,Carombe,100.0
321,03/10/1934,,"Pereira, Colombia",Pan American Airways (Scadta),Quiddo - Cartago,Sikorsky S-38 Flying Boat,NC-9107,,6.0,5.0,0.0,"Scadta was a Pan Am subsidiary.  It was operating a domestiflight, which crashed in the Colombian jungle, which was called 'Green Hell.' Five Goigira Indians, who were canoeing up the Uribe River, found pieces of clothing, and then dead bodies of five people from the crash, and the wreckage of the aircraft.  They also found a man who was alive, but dazed, exhausted, half crazy and unable to speak.  They carried him for seven days through the jungle to civilization.  He later recovered, and his name was Newton C. Marshall, General Manager of South American Gold & Platinum Company.  He was the only survivor.", Colombia,Pereira,83.33333333333334
323,04/10/1934,,"Ningpo Bay, China",China National Aviation Corporation,,Sikorsky S-38BB,NV17V,,3.0,3.0,0.0,, China,Ningpo Bay,100.0
325,05/31/1934,05:00,"Croydon, England",Air France,"Croydon, England - Paris, France",Liore-et-Olivier 213,F-AIVG,,2.0,2.0,0.0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off., England,Croydon,100.0
329,06/23/1934,06:00,"Burbank, California",Aerevias Centrales Air Service,Mexico - Burbank,Lockheed Orion,XA-BEJ,,1.0,1.0,0.0,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot., California,Burbank,100.0
330,07/09/1934,,"San Bernardino, California",United Air Services,San Bernardion - Los Angeles,Lockheed Vega,NC32E,,4.0,3.0,0.0,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch., California,San Bernardino,75.0
332,08/05/1934,,"Bahia, Brazil",Air France,,Latecoere 26,F-AILK,,2.0,2.0,0.0,, Brazil,Bahia,100.0
333,08/10/1934,,"Ningbo, China",China National Aviation Corporation,,Sikorsky S-38B,,,,,,, China,Ningbo,
351,04/01/1935,,"Beauvais, France",Air France,,Farman F-300,F-ALHQ,,3.0,1.0,0.0,"Chief pilot of Air France, Robert Bajac, 36, killed.", France,Beauvais,33.33333333333333
356,05/18/1935,00:45,"Near Moscow, Russia",Gor'ky Eskadril'ya,Demonstration,Tupolev ANT-20 / I-5,CCCP-I20,,50.0,50.0,2.0,"Midair collision with an I-5 fighter at 2,300 ft. The fighter was performing aerobatics trying to loop around the Tupolev. The plane crashed into a residental neighborhood and was on its maiden flight. The plane was nicknamed 'Maxim Gorky.'  Pilot error. Forty-nine killed on the Tupolev, one on the I-5", Russia,Near Moscow,100.0
360,06/24/1935,14:36,"Medellin, Colombia",Servicio Aereo Columbiano / SCADTA,,Ford Tri-Motor / Ford Tri-Motor,C-31 / F-31,5-AT-112/5-AT-006,20.0,17.0,0.0,"A collision occurred between the two Ford Tri-Motors as one was barely off the ground and one was still on the ground at Olaya Herrera Airfield. The accident was officially attributed to wind sheer or the one aircraft being blown into the other aircraft as it took off. Rivalry among the two pilots may have played a part in the accident as one pilot had buzzed the other four days before the accident..  Actor, singer, Carlos Gardel, 44, and his lyricist Alfredo Le Pera, 35, among those killed.", Colombia,Medellin,85.0
364,08/13/1935,,"Hangow, China",China National Aviation Corporation,,Sikorsky S-38B,NV40V,,,,,Destoryed in a storm., China,Hangow,
367,08/15/1935,20:18,"Walakpa, near Point Barrow, Alaska",Private,,Lockheed Orion 9E Explorer float plane,NR12283,195,2.0,2.0,0.0,"Dense fog caused the pilot to make a forced landing about 15 miles south of Point Barrow.  After some mechanical repairs, the plane took off, rose to about 50 feet and then crashed into shallow water. Loss of control of the aircraft at a low altitude after sudden engine failure due to the extreme nose-heaviness of the aircraft. Adventurer, Wiley Post, 37, and humorist, Will Rogers, 56, killed. Most experts believe that a combination of miscalculations in the design and operation of the heavily customized aircraft resulted in the uncontrollable spin that occurred right after takeoff.", Alaska,Walakpa,100.0
368,09/01/1935,23:00,"Burbank, California",Western Air Express,"Burbank, CA - Salt Lake City, UT",Boeing 247,NC13314,,3.0,3.0,0.0,Lost altitude and hit power lines after developing engine trouble after taking off., California,Burbank,100.0
374,11/02/1935,,"Off Nhambupe, Brazil",Air France,Bahia - Aracaju,Latécoère 28-1,F-AJIQ,906,4.0,4.0,0.0,The postal plane crashed at Atalaya Beach., Brazil,Off Nhambupe,100.0
377,11/11/1935,,"Istres, France",Air France,,Latecoere 28,F-AJPB,,3.0,3.0,0.0,, France,Istres,100.0
378,12/04/1935,,"Tours, France",Air Bleu,,Caudron C-630 Simoun,F-ANRK,,2.0,1.0,0.0,, France,Tours,50.0
379,12/10/1935,,"Croydon, England",Sabena,"Brussels, Belgium - Croydon, England",Savoia-Marchetti SM73,OO-AGN,30002,11.0,11.0,0.0,Crashed to the ground after crossing the English Channel in rain and gale force winds., England,Croydon,100.0
384,01/21/1936,,"Off Ajaccio, Corsica, France",Air France,Marseille - Tunis,CAMS 53,F-AJIR,19,6.0,6.0,0.0,Vanished off the coast of Corsica after sending a distress call that the engine had failed., France,Off Ajaccio,100.0
387,03/05/1936,,"Near Tengya, China",China National Aviation Corporation,,Ford 5-AT-D Tri-Motor,,,6.0,0.0,0.0,Crash landed in mountains during a snowstorm., China,Near Tengya,0.0
394,04/21/1936,,"Senlis, France",Sabena,,Fokker F-VII,OO-AIF,,2.0,2.0,0.0,, France,Senlis,100.0
401,08/02/1936,06:00,"Mazamet, France",Air France,,Wibault 280,,,3.0,3.0,0.0,The mail plane crashed into mountains 50 miles from Toulouse in fog., France,Mazamet,100.0
404,08/06/1936,,"Choco, Colombia",SCADTA,,Junkers F-13,C-40,,2.0,2.0,0.0,, Colombia,Choco,100.0
415,11/19/1936,,"London, England",British Airways,,Fokker F-XII,G-AEOT,,4.0,2.0,0.0,, England,London,50.0
416,12/04/1936,,"Near Grenoble, France",Deutsche Lufthansa,,Junkers JU-52/3m,D-ASIH,5078,6.0,6.0,0.0,Crashed into the French Alps  in high winds., France,Near Grenoble,100.0
418,12/09/1936,10:30,"Croydon, England",KLM Royal Dutch Airlines,Croydon - Amsterdam,Douglas DC-2-115E,PH-AKL,1358,17.0,15.0,0.0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cieva killed., England,Croydon,88.23529411764706
423,12/26/1936,,"Nanking, China",China National Aviation Corporation,,Douglas DC-2,NC14269,,,,,, China,Nanking,
424,12/27/1936,19:38,"Newhall, California",United Air Lines,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12.0,12.0,0.0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.", California,Newhall,100.0
425,01/12/1937,11:07,"Near Newhall, California",Western Air Express,Salt Lake City - Burbank,Boeing 247B,NC13315,1696,13.0,5.0,0.0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital.", California,Near Newhall,38.46153846153847
427,02/09/1937,20:50,"Off San Francisco, California",United Air Lines,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11.0,11.0,0.0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.", California,Off San Francisco,100.0
430,03/24/1937,,"Near Ouroux, France",Imperial Airways,"Southhampton, England - Alexandria, Egypt",Short  S-23 (flying boat),G-ADVA,S-818,6.0,5.0,0.0,Crashed into a mountainside in a snowstorm., France,Near Ouroux,83.33333333333334
439,08/08/1937,10:50,"Chilang Point, Bias Bay, China",China National Aviation Corporation,Canton - Shanghi,Sikorsky S-43,,,11.0,3.0,0.0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued., China,Chilang Point,27.27272727272727
443,03/23/1938,,"Corsavy, France",Air France,,Dewoitine D-338,F-AQBB,02,8.0,8.0,0.0,The mail plane crashed into the Pyrenees mountains while en route., France,Corsavy,100.0
451,12/08/1937,,"Saint Sauveur, France",Air France,,Potez 621,F-AOTZ,4213,7.0,2.0,0.0,Crashed in poor weather conditions., France,Saint Sauveur,28.57142857142857
456,01/12/1938,,"North Pine, Ontario, Canada",General Airways,Sioux Lookout - Hudson,Stinson Reliant,CF-BEI,,1.0,1.0,0.0,Crashed in rugged terrain while en route., Canada,North Pine,100.0
457,02/02/1938,20:40,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,,Consolidated PBY-2 / Consolidated PBY-2,04062 / 0463,,14.0,11.0,0.0,The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea., California,Off San Clemente Island,78.57142857142857
458,02/05/1938,,"Kandalaksha, Russia",TsAGI,Moscow - Murmansk,V6 (airship),CCCP-V6,,19.0,13.0,0.0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain., Russia,Kandalaksha,68.42105263157895
459,02/09/1938,,"Marseille, France",Air France,"Marseille, France - Ajaccio, Corsica",Lioré-et-Olivier H-242,F-ANPB,05,12.0,8.0,0.0,The flying boat struck the breakwater at 60 miles an hour and burst into flames while attempting to take off., France,Marseille,66.66666666666666
461,02/22/1938,,"Pontoise, France",Deutsche Lufthansa,"Berlin, Germany - Paris, France",Junkers JU.52,D-APAR,,3.0,3.0,0.0,Crashed in fog within a few miles of it's destination near Bourget Airport., France,Pontoise,100.0
463,03/07/1938,,"Datia, India",Air France,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7.0,7.0,0.0,Crashed and burst into flames shortly after taking off from Dum Dum., India,Datia,100.0
468,05/16/1938,02:07,"Near Saugus, California",Northwest Orient Airlines,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,NC17394,1439,9.0,9.0,0.0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames.", California,Near Saugus,100.0
469,05/22/1938,13:40,"Sao Paulo, Brazil",Cruzeiro do Sul,,Junkers JU-52/3m,PP-CBC,5453,17.0,2.0,0.0,The mail plane crashed while taking off., Brazil,Sao Paulo,11.76470588235294
472,05/27/1938,,"Alberno Canal, BC, Canada",Ginger Coote Airways,,Fairchild 51,CF-AUX,,1.0,1.0,0.0,, Canada,Alberno Canal,100.0
484,08/15/1938,,"Guanabara, Brazil",Syndicato Condor,Guanabara - Victoria,Junkers JU-52/3m,PP-CAT,4024,9.0,9.0,0.0,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay.", Brazil,Guanabara,100.0
487,08/24/1938,08:00,"Wangmoon, China",China National Aviation Corporation,Hong Kong - Chungking,Douglas DC-2,32,1369,17.0,14.0,0.0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin.", China,Wangmoon,82.35294117647058
493,11/02/1938,,"Somerset, England",British Airways,,Lockheed 14 Electra,CF-TCL,,2.0,2.0,0.0,, England,Somerset,100.0
496,11/18/1938,00:51,"Regina, Saskatchewan, Canada",Trans Canada Air Lines,Winnipeg - Regina - Vancouver,Lockheed 14 Electra,CF-TCL,,2.0,2.0,0.0,The mail plane crashed several minutes after taking off from Regina, Canada,Regina,100.0
499,11/29/1938,05:30,"Off Point Reyes, California",United Air Lines,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7.0,7.0,0.0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.", California,Off Point Reyes,100.0
503,01/07/1939,,"Paris, France",Swissair,Zurich - Geneva - Paris,Douglas DC-2-115B,HB-ITA,1329,9.0,5.0,0.0,The aircraft crashed while attempting to land., France,Paris,55.55555555555556
